name,symbol,current_price,market_cap,total_volume,price_change_percentage_24h
Bitcoin,btc,85959,1.70423E+12,24000809017,0.64857
Ethereum,eth,2227.17,2.68934E+11,15332101362,-1.06289
Tether,usdt,0.999476,1.42118E+11,20917468552,-0.02255
XRP,xrp,2.26,1.31513E+11,2655151484,3.5001
BNB,bnb,608.08,88759116650,756556317,2.33858
Solana,sol,143.14,72610943304,3043955774,-0.7768
USDC,usdc,0.999801,56352988310,3588042624,-0.00071
Dogecoin,doge,0.20609,30509550629,1008010875,0.42099
Cardano,ada,0.662991,23812029852,564464769,2.0366
Lido Staked Ether,steth,2227.01,21005274410,82692042,-1.01055
TRON,trx,0.233312,20084499933,492704250,-0.91103
Wrapped Bitcoin,wbtc,85875,11083406820,227125117,0.61026
Hedera,hbar,0.246064,10319758320,951731265,7.28852
Stellar,xlm,0.325666,10033164182,415532008,9.09684
Wrapped stETH,wsteth,2660.64,9471841174,45033935,-1.02447
Chainlink,link,14.81,9453223734,337140918,0.34792
Litecoin,ltc,122.4,9250681940,664865263,-3.37705
Avalanche,avax,21.91,9093617256,248832234,-1.12568
Sui,sui,2.87,9088147728,579555899,0.34654
LEO Token,leo,9.79,9047715019,1499909,5.40722
Toncoin,ton,3.3,8235169099,111518181,-0.23335
Shiba Inu,shib,0.00001368,8065665249,134404015,-2.05033
USDS,usds,1,7805558016,9528583,0.06769
MANTRA,om,7.45,7255838807,81556403,-2.2122
Polkadot,dot,4.66,7108680909,147377121,-0.5772
Hyperliquid,hype,19.82,6644189805,97111692,-1.70109
WETH,weth,2229.09,6407261944,82366676,-1.07701
Bitcoin Cash,bch,317.03,6284725430,161339131,-0.35507
Ethena USDe,usde,0.998967,5457330599,52383656,-0.00987
Bitget Token,bgb,4.08,4905265233,233886938,0.75656
Wrapped eETH,weeth,2364.8,4553246063,43976214,-1.00867
Uniswap,uni,7.5,4503221495,131603222,-0.54739
Monero,xmr,224.57,4140808744,51372444,1.80617
NEAR Protocol,near,3.28,3898729522,188241908,5.74299
WhiteBIT Coin,wbt,26.52,3822090566,18766537,-0.01704
Aptos,apt,6.23,3675290390,182228529,-3.19414
Dai,dai,0.999628,3290408953,123071559,0.00843
Pepe,pepe,0.0000077,3241834266,460194009,-2.63339
Internet Computer,icp,6.7,3223044328,65832899,2.85602
Ondo,ondo,1.015,3209086609,110757146,0.17769
sUSDS,susds,1.041,2967255342,955053,0.01259
Aave,aave,194.66,2939023113,213230799,1.2021
Ethereum Classic,etc,19.21,2900126342,98130098,-1.62223
Bittensor,tao,340,2865470944,102941497,3.73499
OKB,okb,45.98,2759207643,6073261,0.72391
Official Trump,trump,13.64,2716352165,1055488527,-0.02038
Gate,gt,20.97,2637784782,17035610,0.23021
Mantle,mnt,0.741472,2489291764,55966213,0.84899
Coinbase Wrapped BTC,cbbtc,86030,2454687862,215404993,0.70647
POL (ex-MATIC),pol,0.280542,2411554686,74145728,2.69246
